제품 이름,베스트 리뷰,별점,무첨가,순함,자극,자극 맥락
일리윤 세라마이드 아토 수딩 젤,"오래전부터 아이들 크림으로 사용중입니다.
재재재구매했어요.
배송도  빨라서 너무 좋아요",5,False,False,False,
일리윤 세라마이드 아토 수딩 젤,"여름에는 수딩젤필수라서 구매햇어요!!
또 구매할러올께요",5,False,False,False,
일리윤 세라마이드 아토 수딩 젤,여름되면 끈적이는거 싫어하는 아이들과  가족모두 사용해요  자극없어서 좋아요,5,False,False,True,자극없음(긍정)
일리윤 세라마이드 아토 수딩 젤,부드럽고 금방 스며들고 촉촉해서 온가족 로션으로 사용하고 있어요.,5,False,False,False,
일리윤 세라마이드 아토 수딩 젤,좋아요~! 잘쓰고 있어요 여름에도,5,False,False,False,
일리윤 세라마이드 아토 수딩 젤,여름철이면 빠질수 없죠 아주아주 만족 합니다 재구매했어요 시원하게 사용하면 쿨링감 더 좋고 진정 더 잘되네요,5,False,False,False,
일리윤 세라마이드 아토 수딩 젤,일리윤 바디로션 쓰다가 날이 더워져서 수딩젤로 바꿔봤어요. 로션보다는 촉촉함이 덜하긴해요.,5,False,False,False,
일리윤 세라마이드 아토 수딩 젤,"일리윤 히알루론 수분크림을 계속 써오고 있는데
이번 수딩젤 샘플 써보고 더 산뜻한 느낌이라 구매했어요! 수분크림보다 마무리감이 조금 더 보송한 느낌이라 좋아요!!",5,False,False,False,
일리윤 세라마이드 아토 수딩 젤,"가을,겨울에 아토로션을 굉장히 잘 써서 꾸준히 바르다보니 2통을 비웠는데 여름에는 기름지더라구요ㅠㅠ
잘 맞는 김에 일리윤으로 여름 로션 하나 알아보다가 수부지 피부에 좋다는 말에 구매했는데 보송한 마무리감은 모르겠고 촉촉하긴 해요! 
한여름에는 조금 버거울것 같긴 하지만 그래도 꾸준히 써보려구요.",5,False,False,False,
일리윤 세라마이드 아토 수딩 젤,아직 써보진 않았지만 잘 맞을거라 기대하고 사용 예정입니다 ☺️,5,False,False,False,
일리윤 세라마이드 아토 수딩 젤,배송이 빠르고 좋구요 끈적거리지않고 발림성이좋아요 일단 써보고 큰통을 사려고  작은 사이즈를 구매했는데 좋네요,5,False,False,False,
일리윤 세라마이드 아토 수딩 젤,자주 이용하고있어요 또주문할께요,5,False,False,False,
일리윤 세라마이드 아토 수딩 젤,"여름을맞이하여수딩젤주문.부드럽고순하고,건조한곳에는크림한번더바르고~",5,False,False,False,
일리윤 세라마이드 아토 수딩 젤,잘샀어요  여름 에  쓰기좋아요 ㅎ,5,False,False,False,
일리윤 세라마이드 아토 수딩 젤,수부지인데 이것만 바르면 속이 건조하고 에센스 바르고 바르니 괜찮아요! 한여름에는 좋을 것 같어요,4,False,False,False,
일리윤 세라마이드 아토 수딩 젤,신생아 태열 잡는데 좋다해후 구매해봤어요,4,False,False,False,
일리윤 세라마이드 아토 수딩 젤,몇 년째 몇통을 쓰는지 저희집은 엄청 잘 사용중입니다! 어른들에게도 좋거 첫째가 신생아때부터 쓰기 시작했는데 너무너무 좋아요! 둘째도 잘 쓰고 있답니다.,5,False,False,False,
일리윤 세라마이드 아토 수딩 젤,"우리아이 어릴때부터 지금까지 쓰는 일리윤!
너무좋아요! 촉촉필수템이에요!",5,False,False,False,
일리윤 세라마이드 아토 수딩 젤,출산준비중이어서 다른거 구매하면서 같이샀어요,5,False,False,False,
일리윤 세라마이드 아토 수딩 젤,아이가 여름마다 꼭 사용하는 수딩젤입니다^^,5,False,False,False,
일리윤 세라마이드 아토 수딩 젤,"여름마다 땀띠
잘나는 아들때문에 구매하는데 시원한 것 뿐 아니라 등에 땀띠가 안나서 꼭 사용하고 있어요",5,False,False,False,
